source prefix	source identifier	source name	relation	target prefix	target identifier	target name	type	source
doid	DOID:0070296	primary autosomal recessive microcephaly	skos:exactMatch	mesh	C579935	Autosomal Recessive Primary Microcephaly	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0070306	post-cardiac arrest syndrome	skos:exactMatch	mesh	D000080942	Post-Cardiac Arrest Syndrome	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080043	achondrogenesis	skos:exactMatch	mesh	C579878	Achondrogenesis	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080056	achondrogenesis type II	skos:exactMatch	mesh	C536017	Achondrogenesis type 2	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080143	congenital fibrosis of the extraocular muscles	skos:exactMatch	mesh	C580012	Congenital Fibrosis of the Extraocular Muscles	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080234	Clark-Baraitser syndrome	skos:exactMatch	mesh	C536208	Clark-Baraitser syndrome	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080324	tuberous sclerosis 1	skos:exactMatch	mesh	C565346	Tuberous Sclerosis 1	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080325	tuberous sclerosis 2	skos:exactMatch	mesh	C566021	Tuberous Sclerosis 2	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080332	bicuspid aortic valve disease	skos:exactMatch	mesh	D000082882	Bicuspid Aortic Valve Disease	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080344	blepharocheilodontic syndrome	skos:exactMatch	mesh	C536188	Blepharo-cheilo-dontic syndrome	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080395	orofacial cleft 1	skos:exactMatch	mesh	C566121	Orofacial Cleft 1	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080533	Carney-Stratakis syndrome	skos:exactMatch	mesh	C564650	Carney-Stratakis Syndrome	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080576	spondyloepimetaphyseal dysplasia, Genevieve-type	skos:exactMatch	mesh	C535785	Spondyloepimetaphyseal dysplasia, Genevieve type	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080678	mucolipidosis III gamma	skos:exactMatch	mesh	C565367	Mucolipidosis III Gamma	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080695	Burn-McKeown syndrome	skos:exactMatch	mesh	C537411	Burn-Mckeown syndrome	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080696	Winchester syndrome	skos:exactMatch	mesh	C536709	Winchester syndrome	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080699	glutathione synthetase deficiency	skos:exactMatch	mesh	C536835	Glutathione synthetase deficiency	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080711	multisystem inflammatory syndrome in children	skos:exactMatch	mesh	C000705967	pediatric multisystem inflammatory disease, COVID-19 related	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080725	BASAN syndrome	skos:exactMatch	mesh	C537659	Basan syndrome	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080741	limbic encephalitis	skos:exactMatch	mesh	D020363	Limbic Encephalitis	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080743	transverse myelitis	skos:exactMatch	mesh	D009188	Myelitis, Transverse	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080744	antisynthetase syndrome	skos:exactMatch	mesh	C537778	Antisynthetase syndrome	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080745	polymyositis	skos:exactMatch	mesh	D017285	Polymyositis	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080746	Sweet syndrome	skos:exactMatch	mesh	D016463	Sweet Syndrome	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080747	chronic urticaria	skos:exactMatch	mesh	D000080223	Chronic Urticaria	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080750	erythema nodosum	skos:exactMatch	mesh	D004893	Erythema Nodosum	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080768	pyridoxine-dependent epilepsy	skos:exactMatch	mesh	C536254	Pyridoxine-dependent epilepsy	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080779	plasmablastic lymphoma	skos:exactMatch	mesh	D000069293	Plasmablastic Lymphoma	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080795	acute basophilic leukemia	skos:exactMatch	mesh	D015471	Leukemia, Basophilic, Acute	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080808	mammary analogue secretory carcinoma	skos:exactMatch	mesh	D000069295	Mammary Analogue Secretory Carcinoma	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080820	occupational asthma	skos:exactMatch	mesh	D059366	Asthma, Occupational	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080833	laryngomalacia	skos:exactMatch	mesh	D055092	Laryngomalacia	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080848	long COVID	skos:exactMatch	mesh	C000711409	post-acute COVID-19 syndrome	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080912	cerebrooculofacioskeletal syndrome 2	skos:exactMatch	mesh	C565185	Cerebrooculofacioskeletal Syndrome 2	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080913	cerebrooculofacioskeletal syndrome 3	skos:exactMatch	mesh	C565035	Cerebrooculofacioskeletal Syndrome 3	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080914	cerebrooculofacioskeletal syndrome 4	skos:exactMatch	mesh	C565184	Cerebrooculofacioskeletal Syndrome 4	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080918	polymicrogyria	skos:exactMatch	mesh	D065706	Polymicrogyria	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080933	immunoglobulin light chain amyloidosis	skos:exactMatch	mesh	D000075363	Immunoglobulin Light-chain Amyloidosis	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080940	hereditary angioedema type III	skos:exactMatch	mesh	D056828	Hereditary Angioedema Type III	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080941	acquired angioedema	skos:exactMatch	mesh	C538173	Acquired angioedema	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080942	anauxetic dysplasia	skos:exactMatch	mesh	C538256	Anauxetic dysplasia	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080947	acute flaccid myelitis	skos:exactMatch	mesh	C000629404	acute flaccid myelitis	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0080990	King Denborough syndrome	skos:exactMatch	mesh	C536883	King Denborough syndrome	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0081021	Tukel syndrome	skos:exactMatch	mesh	C536925	Tukel syndrome	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0081022	retinal cone dystrophy 3B	skos:exactMatch	mesh	C563678	Retinal Cone Dystrophy 3B	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0081023	retinal cone dystrophy 4	skos:exactMatch	mesh	C566470	Retinal Cone Dystrophy 4	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0081024	retinal cone dystrophy 1	skos:exactMatch	mesh	C566719	Retinal Cone Dystrophy 1	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0081025	retinal cone dystrophy 3A	skos:exactMatch	mesh	C566483	Retinal Cone Dystrophy 3A	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0081041	B-cell prolymphocytic leukemia	skos:exactMatch	mesh	D054403	Leukemia, Prolymphocytic, B-Cell	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0081042	T-cell prolymphocytic leukemia	skos:exactMatch	mesh	D015461	Leukemia, Prolymphocytic, T-Cell	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0081044	frontonasal dysplasia	skos:exactMatch	mesh	C538065	Frontonasal dysplasia	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0081057	gestational diabetes insipidus	skos:exactMatch	mesh	C548014	Gestational Diabetes Insipidus	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0081058	dipsogenic diabetes insipidus	skos:exactMatch	mesh	C548013	Dipsogenic Diabetes Insipidus	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0081082	acute myelomonocytic leukemia	skos:exactMatch	mesh	D015479	Leukemia, Myelomonocytic, Acute	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0090048	dystonia 16	skos:exactMatch	mesh	C567430	Dystonia 16	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0090056	dystonia 12	skos:exactMatch	mesh	C538001	Dystonia 12	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0090130	cortical dysplasia-focal epilepsy syndrome	skos:exactMatch	mesh	C567657	Cortical Dysplasia-Focal Epilepsy Syndrome	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0110007	achromatopsia 2	skos:exactMatch	mesh	C536128	Achromatopsia 2	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0110653	long QT syndrome 12	skos:exactMatch	mesh	C567842	Long Qt Syndrome 12	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0110872	holoprosencephaly 2	skos:exactMatch	mesh	C563579	Holoprosencephaly 2	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0110878	holoprosencephaly 5	skos:exactMatch	mesh	C566464	Holoprosencephaly 5	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0110880	holoprosencephaly 4	skos:exactMatch	mesh	C564180	Holoprosencephaly 4	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0110928	nemaline myopathy 2	skos:exactMatch	mesh	C538349	Nemaline Myopathy 2	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0111162	epidermal nevus	skos:exactMatch	mesh	C580062	Epidermal Nevus	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0111165	molybdenum cofactor deficiency	skos:exactMatch	mesh	C535811	Molybdenum cofactor deficiency	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0111167	Dyggve-Melchior-Clausen disease	skos:exactMatch	mesh	C535726	Dyggve-Melchior-Clausen syndrome	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0111218	Friedreich ataxia 1	skos:exactMatch	mesh	C565561	Friedreich Ataxia 1	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0111771	46,XY sex reversal 4	skos:exactMatch	mesh	C567887	46,XY Sex Reversal 4	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0111820	zygodactyly 1	skos:exactMatch	mesh	C565223	Zygodactyly 1	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0112148	Uruguay faciocardiomusculoskeletal syndrome	skos:exactMatch	mesh	C564544	Uruguay Faciocardiomusculoskeletal Syndrome	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0112184	thyroid dyshormonogenesis 5	skos:exactMatch	mesh	C562771	Thyroid Dyshormonogenesis 5	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0112185	thyroid dyshormonogenesis 1	skos:exactMatch	mesh	C564766	Thyroid Dyshormonogenesis 1	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0112186	thyroid dyshormonogenesis 2A	skos:exactMatch	mesh	C563206	Thyroid Dyshormonogenesis 2A	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0112187	thyroid dyshormonogenesis 3	skos:exactMatch	mesh	C562769	Thyroid Dyshormonogenesis 3	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0112188	thyroid dyshormonogenesis 4	skos:exactMatch	mesh	C562770	Thyroid Dyshormonogenesis 4	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0112189	thyroid dyshormonogenesis 6	skos:exactMatch	mesh	C564608	Thyroid Dyshormonogenesis 6	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0112194	Filippi syndrome	skos:exactMatch	mesh	C538152	Filippi syndrome	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0112232	lissencephaly 3	skos:exactMatch	mesh	C566908	Lissencephaly 3	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0112244	alopecia, neurologic defects, and endocrinopathy syndrome	skos:exactMatch	mesh	C567425	Alopecia, Neurologic Defects, and Endocrinopathy Syndrome	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0112257	hydroxykynureninuria	skos:exactMatch	mesh	C536081	Hydroxykynureninuria	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0112258	N-acetylglutamate synthase deficiency	skos:exactMatch	mesh	C536109	N-acetyl glutamate synthetase deficiency	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0112259	Leydig cell hypoplasia	skos:exactMatch	mesh	C562567	Leydig Cell Hypoplasia	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0112286	spondyloepiphyseal dysplasia with punctate corneal dystrophy	skos:exactMatch	mesh	C566660	Spondyloepiphyseal Dysplasia With Punctate Corneal Dystrophy	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0112289	spondyloepiphyseal dysplasia tarda with characteristic facies	skos:exactMatch	mesh	C564003	Spondyloepiphyseal Dysplasia Tarda with Characteristic Facies	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0112322	pontocerebellar hypoplasia type 1	skos:exactMatch	mesh	C548069	Pontocerebellar Hypoplasia Type 1	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0112328	pontocerebellar hypoplasia type 2	skos:exactMatch	mesh	C548070	Pontocerebellar Hypoplasia Type 2	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:1019	osteomyelitis	skos:exactMatch	mesh	D010019	Osteomyelitis	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:10573	osteomalacia	skos:exactMatch	mesh	D010018	Osteomalacia	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:1059	intellectual disability	skos:exactMatch	mesh	D008607	Intellectual Disability	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:11263	chlamydia	skos:exactMatch	mesh	D002689	Chlamydia	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:11917	tinea cruris	skos:exactMatch	mesh	D000084002	Tinea cruris	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:12140	Chagas disease	skos:exactMatch	mesh	D014355	Chagas Disease	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:12351	alcoholic hepatitis	skos:exactMatch	mesh	D006519	Hepatitis, Alcoholic	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:1307	dementia	skos:exactMatch	mesh	D003704	Dementia	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:1395	schistosomiasis	skos:exactMatch	mesh	D012552	Schistosomiasis	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:1432	blindness	skos:exactMatch	mesh	D001766	Blindness	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:14749	methylmalonic acidemia	skos:exactMatch	mesh	C537358	Methylmalonic acidemia	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:1555	urticaria	skos:exactMatch	mesh	D014581	Urticaria	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:1575	rheumatic disease	skos:exactMatch	mesh	D012216	Rheumatic Diseases	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:1829	urethral stricture	skos:exactMatch	mesh	D014525	Urethral Stricture	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:2176	carbuncle	skos:exactMatch	mesh	D002270	Carbuncle	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:5199	ureteral obstruction	skos:exactMatch	mesh	D014517	Ureteral Obstruction	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:6590	spondylitis	skos:exactMatch	mesh	D013166	Spondylitis	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:7880	luteoma	skos:exactMatch	mesh	D018311	Luteoma	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:8283	peritonitis	skos:exactMatch	mesh	D010538	Peritonitis	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:83	cataract	skos:exactMatch	mesh	D002386	Cataract	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:8398	osteoarthritis	skos:exactMatch	mesh	D010003	Osteoarthritis	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:8485	mucormycosis	skos:exactMatch	mesh	D009091	Mucormycosis	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:8850	salivary gland cancer	skos:exactMatch	mesh	D012468	Salivary Gland Neoplasms	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:9335	scotoma	skos:exactMatch	mesh	D012607	Scotoma	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:9383	iridocyclitis	skos:exactMatch	mesh	D015863	Iridocyclitis	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:9675	pulmonary emphysema	skos:exactMatch	mesh	D011656	Pulmonary Emphysema	manually_reviewed	orcid:0000-0001-9439-5346
mesh	C000598645	Spheroid body myopathy	skos:exactMatch	doid	DOID:0080091	spheroid body myopathy	manually_reviewed	orcid:0000-0003-4423-4370
mesh	C000626124	NGLY1 deficiency	skos:exactMatch	doid	DOID:0060728	NGLY1-deficiency	manually_reviewed	orcid:0000-0003-4423-4370
mesh	C000656784	adiaspiromycosis	skos:exactMatch	doid	DOID:0050072	adiaspiromycosis	manually_reviewed	orcid:0000-0003-4423-4370
mesh	C000656825	tinea barbae	skos:exactMatch	doid	DOID:0050096	tinea barbae	manually_reviewed	orcid:0000-0003-4423-4370
mesh	C000656865	talaromycosis	skos:exactMatch	doid	DOID:0050288	penicilliosis	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C531617	Amyotrophic lateral sclerosis 1	skos:exactMatch	doid	DOID:0060193	amyotrophic lateral sclerosis type 1	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535274	Prieto X-linked mental retardation syndrome	skos:exactMatch	doid	DOID:0060805	Prieto syndrome	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535302	Charcot-Marie-Tooth disease, X-linked recessive, 2	skos:exactMatch	doid	DOID:0110208	Charcot-Marie-Tooth disease X-linked recessive 2	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535303	Charcot-Marie-Tooth disease, X-linked recessive, 3	skos:exactMatch	doid	DOID:0110211	Charcot-Marie-Tooth disease X-linked recessive 3	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535308	3-methylcrotonyl CoA carboxylase 1 deficiency	skos:exactMatch	doid	DOID:0050710	3-Methylcrotonyl-CoA carboxylase deficiency	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535309	3-methylcrotonyl CoA carboxylase 2 deficiency	skos:exactMatch	doid	DOID:0080580	3-Methylcrotonyl-CoA carboxylase 2 deficiency	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535311	Costeff optic atrophy syndrome	skos:exactMatch	doid	DOID:0110004	3-methylglutaconic aciduria type 3	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535323	Chromosome 5q Deletion Syndrome	skos:exactMatch	doid	DOID:0090016	chromosome 5q deletion syndrome	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535334	ABCD syndrome	skos:exactMatch	doid	DOID:0050600	ABCD syndrome	manually_reviewed	orcid:0000-0003-4423-4370
mesh	C535347	Catel Manzke syndrome	skos:exactMatch	doid	DOID:0081122	Catel Manzke syndrome	manually_reviewed	orcid:0000-0001-9439-5346
mesh	C535377	Epidermolysis bullosa with pyloric atresia	skos:exactMatch	doid	DOID:0060733	junctional epidermolysis bullosa with pyloric atresia	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535387	Arthropathy, progressive pseudorheumatoid, of childhood	skos:exactMatch	doid	DOID:0090004	progressive pseudorheumatoid arthropathy of childhood	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535397	Athabaskan brainstem dysgenesis	skos:exactMatch	doid	DOID:0050682	Athabaskan brainstem dysgenesis syndrome	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535416	Charcot-Marie-Tooth disease, Type 2I	skos:exactMatch	doid	DOID:0110158	Charcot-Marie-Tooth disease type 2I	manually_reviewed	orcid:0000-0003-4423-4370
mesh	C535419	Charcot-Marie-Tooth disease, Type 4A	skos:exactMatch	doid	DOID:0110185	Charcot-Marie-Tooth disease type 4A	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535420	Charcot-Marie-Tooth disease, Type 4B1	skos:exactMatch	doid	DOID:0110191	Charcot-Marie-Tooth disease type 4B1	manually_reviewed	orcid:0000-0003-4423-4370
mesh	C535421	Charcot-Marie-Tooth disease, Type 4B2	skos:exactMatch	doid	DOID:0110190	Charcot-Marie-Tooth disease type 4B2	manually_reviewed	orcid:0000-0003-4423-4370
mesh	C535436	Bethlem myopathy	skos:exactMatch	doid	DOID:0050663	Bethlem myopathy	manually_reviewed	orcid:0000-0003-4423-4370
mesh	C535440	Bietti Crystalline Dystrophy	skos:exactMatch	doid	DOID:0050664	Bietti crystalline corneoretinal dystrophy	manually_reviewed	orcid:0000-0003-4423-4370
mesh	C535499	Epilepsy, rolandic with paroxysmal exercise-induced dystonia and writer's cramp	skos:exactMatch	doid	DOID:0111645	Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535503	Epiphyseal dysplasia, multiple, 3	skos:exactMatch	doid	DOID:0070304	multiple epiphyseal dysplasia 3	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535506	Episodic Ataxia, Type 2	skos:exactMatch	doid	DOID:0050990	episodic ataxia type 2	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535520	Renal cysts and diabetes syndrome	skos:exactMatch	doid	DOID:0111101	maturity-onset diabetes of the young type 5	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535554	Abdominal obesity metabolic syndrome	skos:exactMatch	doid	DOID:0060611	abdominal obesity-metabolic syndrome	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535579	Cardiofaciocutaneous syndrome	skos:exactMatch	doid	DOID:0060233	cardiofaciocutaneous syndrome	manually_reviewed	orcid:0000-0001-9439-5346
mesh	C535581	Cardiomyopathy dilated with Woolly hair and keratoderma	skos:exactMatch	doid	DOID:0090128	Carvajal syndrome	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535588	Carnitine palmitoyl transferase 1A deficiency	skos:exactMatch	doid	DOID:0090129	carnitine palmitoyltransferase I deficiency	manually_reviewed	orcid:0000-0001-9439-5346
mesh	C535601	Dosage-sensitive sex reversal	skos:exactMatch	doid	DOID:0111777	46,XY sex reversal 2	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535607	Aicardi-Goutieres syndrome	skos:exactMatch	doid	DOID:0050629	Aicardi-Goutieres syndrome	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535627	Hand foot uterus syndrome	skos:exactMatch	doid	DOID:0060739	hand-foot-genital syndrome	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535642	Growth retardation, Alopecia, Pseudoanodontia and Optic atrophy	skos:exactMatch	doid	DOID:0112249	GAPO syndrome	manually_reviewed	orcid:0000-0001-9439-5346
mesh	C535680	Rieger syndrome 2	skos:exactMatch	doid	DOID:0110121	Axenfeld-Rieger syndrome type 2	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535716	Neuropathy, hereditary motor and sensory, LOM type	skos:exactMatch	doid	DOID:0110186	Charcot-Marie-Tooth disease type 4D	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535734	Muscular dystrophy, tardive Emery-Dreifuss type, with contractures	skos:exactMatch	doid	DOID:0070246	X-linked Emery-Dreifuss muscular dystrophy 1	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535747	Congenital disorder of glycosylation type II	skos:exactMatch	doid	DOID:0050571	congenital disorder of glycosylation type II	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535780	Spondylocarpotarsal synostosis	skos:exactMatch	doid	DOID:0090116	spondylocarpotarsal synostosis syndrome	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535786	Spondyloepimetaphyseal dysplasia, sponastrime type	skos:exactMatch	doid	DOID:5684	spondyloepimetaphyseal dysplasia, Sponastrime type	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535788	Spondyloepiphyseal dysplasia, congenita	skos:exactMatch	doid	DOID:14789	spondyloepiphyseal dysplasia congenita	manually_reviewed	orcid:0000-0003-1307-2508
mesh	C535789	Spondyloepiphyseal dysplasia, Omani type	skos:exactMatch	doid	DOID:0050813	spondyloepiphyseal dysplasia with congenital joint dislocations	manually_reviewed	orcid:0000-0003-1307-2508
